"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"2092053","906","1266","15865","70","2023-04-28T15:33:38.000Z"
"3677791","1020","2477","23086","219","2023-04-28T13:53:10.000Z"
"6301548","2245","3986","36381","310","2023-04-27T13:50:48.000Z"
"5280336","1096","3029","30927","222","2023-04-27T13:41:42.000Z"
"36136694","14449","14752","117892","1647","2023-04-27T15:01:59.000Z"
"3032985","2470","1152","19553","156","2023-04-27T06:53:56.000Z"
"1382220","502","555","4887","25","2023-04-27T06:49:06.000Z"
"12670614","2901","5541","68919","337","2023-04-27T06:48:38.000Z"
"16726077","8896","12723","136914","965","2023-04-27T05:08:44.000Z"
"11883612","9073","10823","98613","1103","2023-04-27T04:29:39.000Z"
"5271783","1965","2653","16945","217","2023-04-25T19:57:31.000Z"
"53699050","37783","20081","303652","8379","2023-04-25T05:20:46.000Z"
"15251781","10045","11062","111858","1036","2023-04-25T05:13:22.000Z"
"13237976","13005","9834","107671","1405","2023-04-25T03:30:39.000Z"
"23734400","10706","35208","375830","2325","2023-04-25T01:36:55.000Z"
"1044306","399","880","8163","109","2023-04-27T13:14:44.000Z"
"347389","141","280","2961","29","2023-04-24T19:57:39.000Z"
"598501","170","549","4783","38","2023-04-24T19:49:37.000Z"
"1465850","389","1165","7172","107","2023-04-24T19:48:21.000Z"
"1401759","522","943","8881","74","2023-04-24T00:45:35.000Z"
"7210764","2651","4567","35998","356","2023-04-22T15:08:07.000Z"
"1347429","481","906","10244","117","2023-04-20T22:28:08.000Z"
"941611","223","355","3832","23","2023-04-20T16:41:29.000Z"
"1093967","310","745","5717","67","2023-04-19T21:48:30.000Z"
"5963549","1337","2641","15204","129","2023-04-18T15:59:43.000Z"
"734484","188","598","4922","60","2023-04-18T13:46:13.000Z"
"1357796","247","440","4014","23","2023-04-16T00:17:59.000Z"
"15768996","4446","15895","146884","1234","2023-04-20T16:37:02.000Z"
"2389946","623","1880","15461","179","2023-03-17T18:26:42.000Z"
"7511075","2651","4475","60376","461","2023-03-16T19:15:52.000Z"
"591160","153","503","6297","36","2023-03-15T19:22:42.000Z"
"598344","84","382","4961","11","2023-03-15T19:22:40.000Z"
"1273459","274","1194","11454","87","2023-03-15T19:22:38.000Z"
"523180","79","256","3235","17","2023-03-14T21:47:27.000Z"
"1346087","295","890","9418","67","2023-03-14T21:47:16.000Z"
"18205789","5142","9889","116632","390","2023-04-15T20:42:55.000Z"
"15819531","5762","6877","86241","602","2023-04-15T20:42:04.000Z"
"21837038","5263","11647","127441","946","2023-04-15T20:40:01.000Z"
"3998026","351","1029","10752","38","2023-04-15T20:09:36.000Z"
"47583071","13001","37193","554698","2220","2023-04-15T18:24:46.000Z"
"8076656","3575","13408","125619","549","2023-04-15T17:59:40.000Z"
"52560065","18167","59138","434744","3142","2023-04-15T17:55:08.000Z"
"10987745","6220","4071","39525","1841","2023-04-15T17:01:28.000Z"
"5475861","481","2704","14057","80","2023-04-15T14:45:39.000Z"
"8455655","1270","1631","32013","112","2023-04-15T16:49:38.000Z"
"5301930","2375","2114","41025","270","2023-04-15T16:14:02.000Z"
"31878315","10072","13662","187695","1497","2023-04-15T16:12:29.000Z"
"4912340","630","2772","27455","123","2023-04-15T09:41:21.000Z"
"4264931","589","1560","18442","248","2023-02-27T04:25:20.000Z"
"6116146","1503","3561","39352","179","2023-02-24T23:18:54.000Z"
"1271033","390","779","8072","132","2023-02-23T23:51:32.000Z"
"5342840","1473","2154","22835","211","2023-02-23T03:21:24.000Z"
"760875","65","308","3847","4","2023-02-23T03:21:23.000Z"
"305460","64","254","3560","9","2023-02-23T03:19:48.000Z"
"6306740","545","1869","20961","108","2023-02-23T03:19:45.000Z"
"1277544","305","1249","5438","84","2023-02-23T03:02:47.000Z"
"5211334","697","2465","22982","124","2023-04-15T06:51:26.000Z"
"4774011","659","2983","24302","286","2023-04-15T06:49:00.000Z"
"7383047","1793","3161","28361","359","2023-04-12T19:32:53.000Z"
"5625048","1577","2502","18030","313","2023-04-12T21:41:44.000Z"
"3409586","268","879","7695","45","2023-04-15T05:27:26.000Z"
"35151659","9726","19225","261841","1263","2023-04-15T00:06:27.000Z"
"4213485","461","1200","8053","92","2023-04-14T20:14:09.000Z"
"30482466","8371","15935","168044","896","2023-04-14T23:46:49.000Z"
"3201975","334","691","6538","48","2023-04-14T23:37:11.000Z"
"3326009","251","764","7233","65","2023-04-14T23:37:10.000Z"
"4420715","912","2361","20469","96","2023-04-14T15:33:59.000Z"
"58642417","16955","45157","572636","4846","2023-04-14T11:15:55.000Z"
"6331410","2149","2293","37460","121","2023-04-14T08:04:20.000Z"
"32545004","18164","11748","165163","1961","2023-04-14T08:02:43.000Z"
"4801268","867","2533","16349","140","2023-04-14T06:35:56.000Z"
"6479282","517","1343","14180","63","2023-02-23T02:21:00.000Z"
"11891549","2945","2486","15066","4240","2023-04-14T00:41:19.000Z"
"1685982","208","454","3540","29","2023-02-22T20:54:45.000Z"
"16532387","4414","10718","100458","1113","2023-04-13T17:20:39.000Z"
"5734897","2441","3447","17853","429","2023-02-22T19:30:32.000Z"
"29273309","7233","12190","111913","2060","2023-04-13T17:07:44.000Z"
"1662749","286","597","5067","154","2023-02-22T18:46:14.000Z"
"17780089","9913","9288","107885","1256","2023-04-13T16:25:30.000Z"
"3790865","1186","3459","17912","155","2023-04-13T03:50:43.000Z"
"498164","64","183","2526","8","2023-02-21T17:29:54.000Z"
"1347100","202","807","5605","46","2023-02-21T17:28:39.000Z"
"11939509","5907","11084","81209","752","2023-04-13T00:06:22.000Z"
"9191551","1526","3565","22521","536","2023-04-12T21:15:31.000Z"
"943291","123","337","3130","14","2023-02-20T14:22:05.000Z"
"5860414","3441","7466","90214","264","2023-04-12T19:08:02.000Z"
"2878109","794","1826","12632","273","2023-02-17T01:14:20.000Z"
"16520945","5666","12019","120035","451","2023-04-12T19:07:08.000Z"
"3995166","596","1142","9324","302","2023-02-15T10:07:23.000Z"
"59005546","826","2623","17073","482","2023-02-14T21:36:34.000Z"
"9627890","1190","2389","26145","168","2023-02-14T07:56:55.000Z"
"613292","117","421","4696","32","2023-02-13T19:55:54.000Z"
"1162543","117","491","5344","36","2023-02-13T19:54:46.000Z"
"435374","60","325","4029","34","2023-02-13T19:47:20.000Z"
"378363","61","296","3910","20","2023-02-13T19:44:28.000Z"
"21705901","9420","28292","174541","1512","2023-04-12T19:05:30.000Z"
"398074","104","405","4901","46","2023-02-13T19:43:29.000Z"
"9709327","916","1981","22480","129","2023-02-13T19:43:29.000Z"
"678634","168","346","3503","17","2023-02-11T16:07:21.000Z"
"11215901","1371","3641","34079","239","2023-02-11T16:07:20.000Z"
"1550199","613","1428","13225","150","2023-02-10T23:15:20.000Z"
"2099148","292","505","6610","41","2023-02-10T17:16:29.000Z"
"2498543","431","1280","13130","88","2023-02-08T20:23:42.000Z"
,"0","19367","0","0","2023-02-08T09:05:20.000Z"
"818704","133","529","4106","26","2023-02-07T17:38:51.000Z"
"9401813","1865","5116","45584","370","2023-02-03T21:50:55.000Z"
"486738","489","632","4143","40","2023-02-01T20:35:24.000Z"
"3348345","1348","2709","35506","244","2023-02-01T14:32:57.000Z"
"6506159","2229","4283","40108","373","2023-01-31T23:25:52.000Z"
"19749475","12294","11558","228600","1344","2023-01-31T19:04:49.000Z"
"14285183","8108","8991","170615","1066","2023-01-26T03:04:55.000Z"
"4036401","1165","2934","17899","141","2023-01-25T22:31:40.000Z"
"399402","108","436","3759","34","2023-01-25T21:45:14.000Z"
"13485307","14787","28930","240034","2807","2023-04-12T18:54:34.000Z"
"41153196","16029","14418","165736","2386","2023-04-12T18:53:35.000Z"
"6358174","1349","5062","41699","300","2023-04-12T16:44:34.000Z"
"40180104","30054","54588","326045","5574","2023-04-12T16:22:49.000Z"
"10149897","3317","3267","46186","332","2023-04-12T05:39:30.000Z"
"47863495","12190","14606","235776","1259","2023-04-12T07:41:35.000Z"
"27741710","12181","23681","174932","2970","2023-04-12T07:25:42.000Z"
"13509726","6452","5907","64526","555","2023-04-12T03:19:16.000Z"
"8686243","2124","6206","46690","610","2023-04-11T19:45:15.000Z"
"43196849","21205","17013","212342","5409","2023-04-11T18:55:18.000Z"
"7339064","959","3809","34020","306","2023-04-11T15:09:30.000Z"
"51824947","36075","17364","189920","6009","2023-04-11T07:03:45.000Z"
"18490298","18631","12443","152274","1845","2023-04-10T23:11:08.000Z"
"11049754","5796","6955","67950","523","2023-04-10T21:04:11.000Z"
"533862","210","443","4327","39","2023-01-25T21:44:22.000Z"
"13573706","7321","6421","81452","774","2023-04-10T19:13:38.000Z"
"234487","43","197","2869","9","2023-01-25T21:40:04.000Z"
"11511985","6674","4326","64679","608","2023-04-10T16:08:05.000Z"
"189099","53","250","3041","12","2023-01-25T21:40:03.000Z"
"32866023","7979","26243","243044","2027","2023-04-10T15:52:03.000Z"
"4306867","1159","3388","26977","256","2023-01-25T21:40:03.000Z"
"33276006","16707","14439","166618","2843","2023-04-10T14:32:30.000Z"
"4517573","947","2486","20852","136","2023-01-25T16:31:48.000Z"
"10612962","4853","6378","72608","590","2023-04-10T13:27:08.000Z"
"3348208","931","2284","23301","122","2023-01-24T22:41:20.000Z"
"10032291","5333","5714","112400","658","2023-04-10T04:05:12.000Z"
"3044262","583","1819","19919","73","2023-01-24T22:41:06.000Z"
"65729253","19153","24149","364378","5402","2023-04-10T03:23:01.000Z"
"14620219","1840","5982","50011","813","2023-01-24T22:41:06.000Z"
"6927441","1118","2418","21950","193","2023-04-09T21:02:55.000Z"
"457070","103","262","3084","9","2023-01-20T23:15:17.000Z"
"10707620","2932","4133","59835","238","2023-04-09T22:21:52.000Z"
"588797","211","291","3675","9","2023-01-20T23:15:16.000Z"
"11618461","5095","6094","58815","503","2023-04-09T22:00:23.000Z"
"18633287","9425","16814","266367","1073","2023-04-09T21:44:20.000Z"
"2509215","557","1465","13381","79","2023-01-20T23:15:16.000Z"
"33330922","23092","22433","312046","1555","2023-04-09T18:10:58.000Z"
"20778369","6654","6383","59716","747","2023-04-09T17:27:07.000Z"
"331197","63","214","2047","11","2023-01-19T20:38:36.000Z"
"493975","94","324","3163","29","2023-01-19T20:38:28.000Z"
"289457","44","146","2136","10","2023-01-19T20:37:06.000Z"
"23012285","10583","14303","162668","1690","2023-04-09T06:07:02.000Z"
"209329","43","132","1930","8","2023-01-19T20:34:17.000Z"
"13310040","7341","11845","145759","770","2023-04-09T05:15:30.000Z"
"3681714","929","1804","16872","92","2023-01-19T20:34:09.000Z"
"29816429","10634","13611","311388","1443","2023-04-09T01:26:49.000Z"
"303459","99","326","2567","9","2023-01-19T18:35:22.000Z"
"17447854","8923","21288","149190","1612","2023-04-09T00:32:27.000Z"
"983623","126","440","3497","13","2023-01-19T18:35:21.000Z"
"33120796","10741","21780","254593","1905","2023-04-08T11:00:04.000Z"
"310985","70","276","2096","3","2023-01-18T16:04:46.000Z"
"19689574","7968","17048","195408","1544","2023-04-08T09:17:07.000Z"
"11204757","2140","2326","24042","339","2023-04-07T20:09:24.000Z"
"5347849","1479","1362","19233","190","2023-04-08T01:00:18.000Z"
"379647","73","283","2774","8","2023-01-18T16:04:46.000Z"
"9410867","3320","3369","48100","254","2023-04-08T00:58:10.000Z"
"185117","21","148","1804","6","2023-01-18T16:03:08.000Z"
"15004500","5454","9582","91891","655","2023-04-07T18:01:06.000Z"
"132776","15","105","1479","0","2023-01-18T16:03:08.000Z"
"5560552","1402","3995","30056","215","2023-04-07T16:04:46.000Z"
"166930","44","153","1961","6","2023-01-18T16:03:07.000Z"
"5932919","1581","3648","29259","193","2023-04-07T05:03:25.000Z"
"3522440","1352","2769","23633","197","2023-01-18T16:03:05.000Z"
"5241889","991","2959","25899","180","2023-04-07T04:40:52.000Z"
"3956304","1315","1940","19376","152","2023-01-13T13:45:02.000Z"
"4047121","1337","1999","18470","94","2023-01-13T13:45:02.000Z"
"906930","172","586","4688","42","2023-01-12T21:51:42.000Z"
"1699264","242","648","5009","43","2023-01-11T20:52:49.000Z"
"1187030","417","895","8055","86","2023-01-11T19:58:23.000Z"
"563416","127","420","3705","17","2023-01-11T10:08:01.000Z"
"6089161","1589","3732","28716","298","2023-01-11T10:08:00.000Z"
"578447","212","352","5339","14","2023-01-10T20:35:50.000Z"
"2943121","663","1645","15198","162","2023-01-10T20:35:49.000Z"
"3235862","482","1166","11760","102","2023-01-10T14:58:50.000Z"
"6455460","1415","2411","21942","157","2023-01-09T16:37:46.000Z"
"30156114","1335","2124","16769","297","2023-01-07T21:38:50.000Z"
"611960","115","451","5301","19","2023-01-07T17:03:37.000Z"
"991271","214","1028","9629","87","2023-01-07T17:03:07.000Z"
"683372","127","664","8187","56","2023-01-07T16:55:27.000Z"
"543371","53","286","4654","14","2023-01-07T16:55:26.000Z"
"530383","72","254","4364","6","2023-01-07T16:55:26.000Z"
"523424","66","249","4303","12","2023-01-07T16:55:25.000Z"
"29585019","2009","4366","38558","447","2023-01-07T16:52:38.000Z"
"6177649","1340","2796","23836","157","2023-01-05T11:20:51.000Z"
"1433227","306","609","6338","31","2023-01-05T10:59:53.000Z"
"25673259","16725","7208","52842","616","2023-01-04T00:36:33.000Z"
"1667768","520","1094","8453","79","2023-01-02T18:06:36.000Z"
"2752321","637","1103","10548","132","2023-01-02T18:05:31.000Z"
"3359062","1299","791","11343","101","2023-01-01T15:31:41.000Z"
"1036765","91","322","3096","13","2022-12-31T19:35:51.000Z"
"1609534","290","595","5788","46","2022-12-31T19:35:51.000Z"
"705037","258","633","7816","34","2022-12-29T19:56:29.000Z"
"1737619","138","656","6998","79","2022-12-29T19:56:29.000Z"
"343132","31","296","4431","9","2022-12-29T19:56:29.000Z"
"366956","42","351","4647","24","2022-12-29T19:56:28.000Z"
"329365","69","362","4753","19","2022-12-29T19:52:05.000Z"
"406345","47","428","5113","19","2022-12-29T19:52:04.000Z"
"4763417","798","3013","24817","169","2023-04-07T04:30:48.000Z"
"424230","82","441","5557","26","2022-12-29T19:52:04.000Z"
"4633572","710","1104","10438","75","2023-04-07T01:51:43.000Z"
"9159596","2818","4860","49202","425","2022-12-29T19:44:15.000Z"
"18027282","6730","10229","88237","811","2023-04-06T21:52:44.000Z"
"6776672","2162","4002","38318","255","2022-12-28T16:08:15.000Z"
"21833196","12879","23741","235195","2164","2023-04-06T07:10:55.000Z"
"8294903","1618","4330","26272","586","2023-04-06T00:04:54.000Z"
"8141205","2938","4303","40738","367","2022-12-27T22:54:10.000Z"
"12812853","3079","5427","71468","461","2022-12-25T18:28:37.000Z"
"29672717","12573","18855","207647","1540","2023-04-04T23:15:03.000Z"
"631665","113","263","3783","11","2022-12-24T21:28:53.000Z"
"54207712","18280","58159","559609","3027","2023-04-04T18:52:32.000Z"
"1146568","412","995","11459","100","2022-12-24T21:28:50.000Z"
"34080777","19056","16280","292659","1861","2023-04-03T20:17:23.000Z"
"80865680","26284","57243","765928","15405","2023-04-03T19:44:24.000Z"
"75150507","32487","84008","906878","16619","2023-04-03T18:50:20.000Z"
"26802312","13723","14932","200202","1916","2023-04-03T13:29:00.000Z"
"29333666","9784","34910","430570","1836","2023-04-03T02:08:44.000Z"
"18299944","4238","6218","64512","346","2023-04-02T21:58:49.000Z"
"41871069","17953","29998","578146","2118","2023-04-02T19:49:26.000Z"
"7469925","1232","4123","40202","258","2023-04-02T14:37:37.000Z"
"7022068","1128","4218","40874","202","2023-04-02T14:30:16.000Z"
"6723303","1275","2838","23705","217","2023-04-02T19:39:05.000Z"
"11891956","2785","5025","33313","206","2023-04-02T19:07:51.000Z"
"6223666","2732","2245","38096","168","2023-04-02T09:22:23.000Z"
"14003921","6502","7879","116691","521","2023-04-02T06:40:37.000Z"
"7812654","3860","7871","79981","652","2023-04-02T05:44:40.000Z"
"21689182","11949","29200","237708","2332","2023-04-02T05:16:04.000Z"
"8733511","2519","3068","41602","182","2023-04-02T05:01:40.000Z"
"46178394","23090","23055","510737","3110","2023-04-01T19:16:11.000Z"
"64235802","22597","14272","204222","1933","2023-04-01T16:53:08.000Z"
"5804685","1704","1929","18957","178","2023-04-01T08:42:39.000Z"
"2893270","368","1436","17020","126","2022-12-24T10:43:59.000Z"
"1067260","251","801","7117","61","2022-12-23T19:57:51.000Z"
"18608741","5856","6421","82386","666","2023-04-01T04:48:55.000Z"
"10691211","1662","3712","38229","137","2022-12-23T17:50:28.000Z"
"30882533","1494","3118","35264","479","2022-12-22T18:36:48.000Z"
"32448755","29361","31276","276401","4056","2023-04-01T03:10:07.000Z"
"13538589","8054","10761","103671","1326","2023-03-31T20:52:13.000Z"
"12899934","3564","7023","47512","570","2023-03-31T19:09:38.000Z"
"22845642","5086","20930","125046","3609","2023-03-31T18:55:30.000Z"
"20569417","3527","9051","67100","661","2023-03-31T18:46:19.000Z"
"13378887","20081","4428","137532","802","2023-03-31T17:53:33.000Z"
"76606809","51066","42962","938805","10800","2023-03-31T17:41:47.000Z"
"8842676","1202","2049","17037","324","2023-03-30T18:57:30.000Z"
"7735968","3380","3078","52508","256","2023-03-31T07:59:41.000Z"
"62828222","8818","18003","215922","3232","2023-03-31T05:56:45.000Z"
"119692575","33605","92741","595070","20179","2023-03-31T05:45:41.000Z"
"79612760","5767","8027","94049","1129","2023-03-31T02:36:34.000Z"
"57583517","17126","23473","227297","2945","2023-03-30T06:37:44.000Z"
"1395446","381","1200","9182","79","2022-12-22T17:31:51.000Z"
"34894002","1271","3512","35646","569","2022-12-21T15:45:49.000Z"
"9050513","1807","3007","27278","138","2022-12-20T15:48:30.000Z"
"7588154","1502","2724","25406","143","2022-12-19T20:51:18.000Z"
"8646925","1549","3482","36380","240","2022-12-19T20:51:16.000Z"
"21461294","2547","5456","88064","472","2022-12-18T20:50:40.000Z"
"5010539","1366","2896","23875","154","2022-12-15T22:08:16.000Z"
"7448020","1893","5086","37574","473","2022-12-15T22:08:08.000Z"
"6643833","2174","4290","52288","384","2022-12-15T19:55:33.000Z"
,"240","806","7786","226","2022-12-13T22:12:30.000Z"
,"313","1047","10545","204","2022-12-13T22:11:54.000Z"
,"15101","16168","214430","4419","2022-12-14T04:19:49.000Z"
"6784645","1367","3842","31232","266","2023-03-29T20:10:36.000Z"
"6386620","915","3559","30200","172","2023-03-29T20:01:51.000Z"
"5668617","604","2505","14317","305","2023-03-29T22:34:24.000Z"
"27697247","13203","8688","113122","3628","2023-03-28T19:38:23.000Z"
"28494067","7607","13288","172155","1831","2023-03-28T06:53:23.000Z"
"18726139","8207","6400","86123","824","2023-03-28T04:11:53.000Z"
"40700110","15365","30031","368889","2645","2023-03-28T03:22:28.000Z"
"10074010","4590","2241","32702","1961","2023-03-28T01:55:02.000Z"
"122702408","55781","23573","212644","72834","2023-03-27T23:54:57.000Z"
"30963915","10580","20423","292577","1379","2023-03-27T18:12:29.000Z"
"17807547","9774","5397","42816","1224","2023-03-27T10:59:56.000Z"
"32437295","13203","11067","115777","2193","2023-03-27T03:48:31.000Z"
"36935637","12391","9446","99979","2106","2023-03-27T03:05:24.000Z"
,"299","533","7406","80","2022-12-13T22:18:04.000Z"
"25042929","5580","10663","61952","601","2023-03-27T01:57:41.000Z"
,"235","616","9012","87","2022-12-13T22:16:58.000Z"
"2415196","1765","3459","37399","321","2022-12-13T22:16:29.000Z"
"9593105","1693","4565","35359","4958","2022-12-13T22:15:35.000Z"
,"2015","3280","42811","395","2022-12-13T22:11:51.000Z"
"64894310","12961","33001","465924","3524","2023-03-27T01:54:37.000Z"
"1530661","1719","2552","27781","146","2022-12-12T15:02:38.000Z"
"37063827","6621","9826","123814","536","2023-03-25T20:53:43.000Z"
,"205","370","4485","3","2022-12-09T18:43:56.000Z"
"28175764","6245","7712","86256","535","2023-03-24T22:38:20.000Z"
"6864597","1479","4105","37950","303","2023-03-24T15:52:16.000Z"
"6130576","1002","3528","31190","152","2023-03-24T15:43:59.000Z"
"30440965","10356","9194","128669","936","2023-03-24T22:16:08.000Z"
,"2126","3200","30785","220","2022-12-09T18:43:54.000Z"
"44866823","18024","31631","317473","2706","2023-03-24T09:38:38.000Z"
"17599057","10074","5599","44584","1007","2023-03-24T07:37:52.000Z"
,"858","1759","18722","94","2022-12-08T04:59:39.000Z"
,"562","1686","21565","51","2022-12-07T22:33:11.000Z"
,"1423","4286","50787","292","2022-12-07T22:33:07.000Z"
"594315","918","2649","22685","362","2022-12-02T01:38:34.000Z"
,"165","375","5213","15","2022-12-02T01:34:59.000Z"
"341249","339","1135","11568","58","2022-12-02T01:34:59.000Z"
"3751325","5616","9750","97005","1018","2022-12-02T01:33:26.000Z"
"18382360","2635","3216","26072","364","2023-03-24T07:01:55.000Z"
"12015998","2979","2787","38370","251","2023-03-24T06:55:12.000Z"
"33309740","10873","17302","147231","1718","2023-03-24T05:34:31.000Z"
"19482309","6104","8334","94490","780","2023-03-24T05:27:17.000Z"
"25029653","7250","7220","53255","846","2023-03-23T21:31:38.000Z"
"7088326","2093","3194","22829","382","2023-03-23T00:03:47.000Z"
"6158607","4714","3340","41694","243","2023-03-22T03:28:10.000Z"
"20661333","8116","9617","88265","843","2023-03-22T03:24:26.000Z"
"6629625","1947","2787","17984","498","2023-03-21T19:06:15.000Z"
"12251824","3311","2990","24833","200","2023-03-21T01:41:10.000Z"
"10035497","2930","6145","42203","602","2023-03-20T22:22:03.000Z"
"5999284","1507","1849","22906","142","2023-03-20T17:44:47.000Z"
"44206435","11634","26066","214949","2320","2023-03-20T17:44:16.000Z"
"37750882","10320","18661","236048","1383","2023-03-19T22:11:07.000Z"
